tick,population,average_speed
344,43,0.05824502794615526
345,43,0.05824502794615526
346,45,0.05565636003743725
347,45,0.05565636003743725
348,45,0.05565636003743725
349,45,0.05565636003743725
350,45,0.05565636003743725
351,45,0.05565636003743725
352,46,0.05444643916705818
353,46,0.05444643916705818
354,47,0.05328800429116333
355,48,0.05681785791240554
356,48,0.05681785791240554
357,48,0.0575802052727751
358,48,0.0575802052727751
359,49,0.059050253539910245
360,48,0.05737141368243722
361,48,0.05737141368243722
362,48,0.05737141368243722
363,48,0.05737141368243722
364,48,0.0572897125298872
365,48,0.0572897125298872
366,49,0.05737549220967967
367,49,0.05737549220967967
368,49,0.055434330430258597
369,49,0.055434330430258597
370,50,0.05432564382165342
371,49,0.05411044283267183
372,48,0.05059772334771104
373,49,0.05406608446779411
374,49,0.05406608446779411
375,49,0.05406608446779411
376,49,0.05406608446779411
377,48,0.0528249223470306
378,48,0.05465109688972793
379,48,0.05465109688972793
380,48,0.05465109688972793
381,48,0.05465109688972793
382,49,0.0535357683817743
383,49,0.0535357683817743
384,49,0.0535357683817743
385,49,0.0535357683817743
386,48,0.05349687900148171
387,49,0.055963448126766596
388,50,0.05620315785304113
389,50,0.055369824178686945
390,51,0.05677061151951695
391,51,0.05269733985454533
392,52,0.053912663162707895
393,53,0.052967252676188896
394,53,0.052967252676188896
395,54,0.05198637762662984
396,53,0.051182415774907605
397,53,0.051182415774907605
398,53,0.051182415774907605
399,53,0.051182415774907605
400,54,0.050234593260557465
401,55,0.05269305290189215
402,56,0.053035553426081
403,57,0.05210510512036028
404,57,0.05210510512036028
405,58,0.05249708358522181
406,58,0.05249708358522181
407,58,0.05249708358522181
408,57,0.05063412621204469
409,58,0.04976112403597495
410,59,0.05170533263155823
411,59,0.05170533263155823
412,58,0.05184600966158035
413,59,0.05156649272528838
414,59,0.05156649272528838
415,60,0.051806675755105266
416,60,0.051806675755105266
417,59,0.05007190434261317
418,59,0.05007190434261317
419,60,0.05210175474941561
420,61,0.053977610050708925
421,60,0.05302617872231744
422,59,0.050946874088089344
423,60,0.051942603889170366
424,61,0.05576713939412286
425,61,0.05576713939412286
426,62,0.06005587176281582
427,62,0.06005587176281582
428,64,0.0634668080143932
429,64,0.0634668080143932
430,64,0.0634668080143932
431,65,0.06863586575701001
432,64,0.06845006603246429
433,64,0.06845006603246429
434,63,0.0696531869275462
435,64,0.0685648558818033
436,64,0.0685648558818033
437,66,0.07177815199816771
438,68,0.07191850874281581
439,68,0.07191850874281581
440,69,0.07481844566639248
441,70,0.07374961072830116
